# Wordlist



# DATA
ID	DOCULECT	CONCEPT	GLOSSID	IPA	WANGID	COGID	SWGLOSS	SWID	PROTO
228	Meixian	bone	10	骨头	0a	48	bone	614	骨頭
229	Nanchang	bone	10	骨头	0a	48	bone	614	骨頭
230	Fuzhou	bone	10	骨	0	49	bone	614	骨
231	Ningxia	bone	10	骨头	0a	48	bone	614	骨頭
232	Lianchang	bone	10	骨头	0a	48	bone	614	骨頭
233	Ningbo	bone	10	骨	0	49	bone	614	骨
234	Yingshan	bone	10	骨头	0a	48	bone	614	骨頭
235	Chengdu	bone	10	骨	0	49	bone	614	骨
236	Zhanping	bone	10	骨	0	49	bone	614	骨
237	Shanghai	bone	10	骨	0	49	bone	614	骨
238	Shanghai_B	bone	10	骨	0	49	bone	614	骨
239	Xiamen	bone	10	骨	0	49	bone	614	骨
240	Anyi	bone	10	骨頭	0a	48	bone	614	骨頭
241	Beijing	bone	10	骨头	0a	48	bone	614	骨頭
242	Wenzhou	bone	10	骨	0	49	bone	614	骨
243	Wenzhou	bone	10	骨头	0a	48	bone	614	骨頭
244	Taibei	bone	10	kut32 thau13骨頭	0a	48	bone	614	骨頭
245	Wuhan	bone	10	骨头	0a	48	bone	614	骨頭
246	Taiyuan	bone	10	骨头	0a	48	bone	614	骨頭
247	Yuci	bone	10	骨头	0a	48	bone	614	骨頭
248	Changsha	bone	10	骨头	0a	48	bone	614	骨頭
249	Shuangfeng	bone	10	骨头	0a	48	bone	614	骨頭
#
250	Guangzhou	breasts	11	[]nin55	5	56	breast	687	[]nin55
251	Suzhou	breasts	11	奶奶	1e	51	breast	687	奶奶
252	Meixian	breasts	11	奶姑*	1f	50	breast	687	奶姑*
253	Nanchang	breasts	11	奶	1	60	breast	687	奶
254	Fuzhou	breasts	11	[奶]奶	1	60	breast	687	奶
255	Fuzhou	breasts	11	[奶]奶	1e	51	breast	687	奶奶
256	Fuzhou	breasts	11	奶	1	60	breast	687	奶
257	Ningxia	breasts	11	奶子	1b	54	breast	687	奶子
258	Lianchang	breasts	11	[]nang33菇	1f	50	breast	687	奶姑*
259	Ningbo	breasts	11	奶头	1c	53	breast	687	奶头
260	Yingshan	breasts	11	妈儿	2h	61	breast	687	妈儿
261	Chengdu	breasts	11	奶奶	1e	51	breast	687	奶奶
262	Zhanping	breasts	11	奶仔	1b	54	breast	687	奶子
263	Shanghai	breasts	11	奶	1	60	breast	687	奶
264	Shanghai_B	breasts	11	奶奶	1e	51	breast	687	奶奶
265	Xiamen	breasts	11	奶	1	60	breast	687	奶
266	Anyi	breasts	11	奶	1	60	breast	687	奶
267	Anyi	breasts	11	奶嘴	1d	52	breast	687	奶嘴
268	Beijing	breasts	11	咂儿	4	57	breast	687	咂儿
269	Wenzhou	breasts	11	Ú奶Ú奶（阴平）	1e	51	breast	687	奶奶
270	Taibei	breasts	11	lin44 ?	3	58	breast	687	lin44 ?
271	Wuhan	breasts	11	妈[妈]（恐不是此二字，有音无字）	2	59	breast	687	妈[妈]（恐不是此二字，有音无字）
272	Wuhan	breasts	11	妈[妈]（恐不是此二字，有音无字）	2g	62	breast	687	妈[妈]（恐不是此二字，有音无字）
273	Taiyuan	breasts	11	奶[奶]	1	60	breast	687	奶
274	Taiyuan	breasts	11	奶[奶]	1e	51	breast	687	奶奶
275	Yuci	breasts	11	奶头	1c	53	breast	687	奶头
276	Changsha	breasts	11	奶子	1b	54	breast	687	奶子
277	Shuangfeng	breasts	11	奶婆	1a	55	breast	687	奶婆
#
2762	Guangzhou	breathe	107	嗍	2	681	breathe (V)	690	嗍
2763	Guangzhou	breathe	107	啜[指撮唇而吸]	3	680	breathe (V)	690	嘬
2764	Suzhou	breathe	107	吸	4	679	breathe (V)	690	吸
2765	Suzhou	breathe	107	呼	5	678	breathe (V)	690	呼
